,Demand_MW_mean,Demand_MW_mean_ci_lower,Demand_MW_mean_ci_upper,Solar_MW_mean,Solar_MW_mean_ci_lower,Solar_MW_mean_ci_upper,Wind_MW_mean,Wind_MW_mean_ci_lower,Wind_MW_mean_ci_upper,Coal_MW_mean,Coal_MW_mean_ci_lower,Coal_MW_mean_ci_upper,Hydrocarbons_MW_mean,Hydrocarbons_MW_mean_ci_lower,Hydrocarbons_MW_mean_ci_upper,Water_MW_mean,Water_MW_mean_ci_lower,Water_MW_mean_ci_upper,Nuclear_MW_mean,Nuclear_MW_mean_ci_lower,Nuclear_MW_mean_ci_upper,Biomass_MW_mean,Biomass_MW_mean_ci_lower,Biomass_MW_mean_ci_upper,Import_Positive_MW_mean,Import_Positive_MW_mean_ci_lower,Import_Positive_MW_mean_ci_upper,Export_Positive_MW_mean,Export_Positive_MW_mean_ci_lower,Export_Positive_MW_mean_ci_upper
2024-01-11,6563.642625789397,5063.382336382777,8063.902915196018,117.11790667602249,4.860391922776586,229.37542142926839,221.08045386572786,0.0,1496.5460024765578,963.4441625961324,750.7341709220723,1176.1541542701925,1825.4531771481682,1276.3590418919134,2374.547312404423,2282.99975643684,1366.4047542743342,3199.594758599346,1330.914337682066,919.7298813576183,1742.0987940065136,37.50586032598473,18.853283633175444,56.15843701879401,281.8164085979874,0.0,767.6926448841134,485.20009620736846,0.0,1502.407603629013
2024-01-12,6494.928103133098,4917.7521216630275,8072.104084603169,112.51298084752936,0.0,226.11126635706358,265.1589134594392,0.0,1556.222106704416,928.9274921965664,713.5217585520068,1144.333225841126,1798.1966986262378,1226.3690366954006,2370.024360557075,2339.6131337827433,1384.064092960551,3295.1621746049354,1347.9995769240725,923.407968114691,1772.591185733454,37.2423665673467,17.856224093339236,56.628509041354164,143.17908691958533,0.0,629.6636841255329,596.124233212545,0.0,1613.8041603961337
2024-01-13,5995.6525552437615,4347.92397055422,7643.381139933303,113.82518121350655,0.0,228.95454527541511,197.55265290134517,0.0,1506.7693012779916,901.8763018103826,683.8583842475654,1119.8942193732,1713.2129562320115,1122.1686229042944,2304.2572895597286,2331.099721838175,1337.6161494269254,3324.5832942494244,1356.61108790257,920.4327319661561,1792.789443838984,35.54551187288682,15.417018749250502,55.67400499652314,32.13429007695146,0.0,519.2275270121957,808.3668507413894,0.0,1826.4347441496661
2024-01-14,5456.8375732659215,3736.7619881955725,7176.9131583362705,117.0498044323186,0.6009842173257738,233.49862464731143,110.22473689198549,0.0,1440.4476819383929,873.7085966057709,653.1267884616992,1094.2904047498428,1624.7633229546902,1016.9492630734503,2232.57738283593,2213.172931482913,1183.7313368107814,3242.6145261550446,1353.186783981614,905.7731648574185,1800.6004031058096,33.63361430933948,12.769103609377453,54.4981250093015,0.0,0.0,454.10914614741426,1022.7684171237191,4.344717913104773,2041.1921163343336
2024-01-15,6299.593308291351,4512.383053293119,8086.803563289583,124.20175749155794,5.905954754404419,242.49756022871145,66.58323174238174,0.0,1425.6113732359424,910.5880379610747,686.5651628256079,1134.6109130965415,1713.5777497140095,1084.6733843726806,2342.4821150553385,2277.5073687708127,1203.0621057426142,3351.952631799011,1339.683384447106,881.9603021278341,1797.406466766378,35.20075561869269,13.51842899749688,56.883082239888495,336.87009920010144,0.0,828.7775382201005,688.9665125652833,0.0,1709.053306169822
2024-01-16,6518.2962657288535,4660.582116961157,8376.01041449655,118.03501204264796,0.0,237.7620722145018,78.5138257898628,0.0,1467.240894244418,947.9161214173649,720.7870935513241,1175.0451492834059,1769.9300045307562,1120.217106272565,2419.642902788947,2261.2666639186727,1145.9406795796808,3376.5926482576647,1331.5886093363074,863.822987307065,1799.3542313655498,36.02174481414634,13.561848282129997,58.481641346162675,347.93796631946964,0.0,841.9782186680264,610.314876794884,0.0,1631.476654256827
2024-01-17,6601.463771821022,4680.608250226439,8522.319293415607,108.34007561944057,0.0,229.58694139689447,11.10104118860363,0.0,1431.7269044529378,966.9628723437306,737.0421990392294,1196.8835456482318,1798.9971795682097,1127.6281598736127,2470.3661992628067,2324.902837688169,1170.2512676894003,3479.5544076869373,1318.5156468927812,841.9677671486165,1795.0635266369459,35.44902417005418,12.257420598200149,58.64062774190821,281.3237714292585,0.0,776.743720697985,527.4898044429981,0.0,1549.477213154828
2024-01-18,6582.743912115224,4597.5983816176085,8567.889442612839,118.54141255287992,0.0,241.12098542519243,0.0,0.0,1394.1435244248942,964.021310163473,731.4534781905256,1196.5891421364204,1844.8782901391442,1150.5089616693406,2539.247618608948,2309.4232437751075,1117.6210548315953,3501.2254327186197,1317.8335378724084,832.6866680827546,1802.9804076620621,37.16059155435534,13.28200989103814,61.03917321767254,267.88429449161606,0.0,764.3833499842185,526.3837652142297,0.0,1549.0999790448168
2024-01-19,6522.957349234521,4476.845206342555,8569.069492126486,112.41833090691522,0.0,236.44681556237384,0.0,0.0,1476.1977993574346,928.6598701835981,693.5118054797983,1163.8079348873978,1869.6865029309288,1151.2447221517791,2588.1282837100784,2404.2991388311766,1176.0442146847936,3632.5540629775596,1330.7837197506435,838.0759182822311,1823.4915212190558,37.14543615026036,12.618960287541103,61.67191201297962,128.84187562849388,0.0,626.2969912740238,638.3285034905714,0.0,1661.7518211155748
2024-01-20,6013.604886108997,3908.800425084956,8118.409347133038,115.26601912571985,0.0,240.6046404303852,0.0,0.0,1450.2076434759758,900.1842880516011,662.4914141577199,1137.8771619454824,1817.4596642418078,1074.7806402793585,2560.138688204257,2357.660383418971,1094.5974470288868,3620.7233198090553,1344.6286405722396,844.486576208192,1844.7707049362873,35.62804391973901,10.48490490674818,60.77118293272983,17.519875609930338,0.0,515.8850213259697,852.0955458457559,0.0,1876.2407090593267
